City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
187,Yerbogachen,RU,61.2767,108.0108,-31.95,100,69,2.44,broken clouds
188,Tual,ID,-5.6667,132.75,81.07,77,92,5.57,overcast clouds
189,Iranshahr,IR,27.2025,60.6848,47.46,66,40,1.12,scattered clouds
190,Arlit,NE,18.7369,7.3853,62.91,9,39,7.34,scattered clouds
191,Qasigiannguit,GL,68.8193,-51.1922,14.25,94,100,7.96,light snow
192,Kolyshley,RU,52.7005,44.5367,11.89,92,100,4.25,overcast clouds
193,Selestat,FR,48.2598,7.4565,33.94,80,100,16.11,overcast clouds
194,Pandan,PH,14.0453,124.1694,75.22,86,100,22.86,overcast clouds
195,Hambantota,LK,6.1241,81.1185,74.05,73,100,9.89,overcast clouds
196,Ghosi,IN,26.1083,83.5436,49.75,69,0,2.73,clear sky
197,Havoysund,NO,70.9963,24.6622,32.23,75,63,18.41,light snow
198,Do Gonbadan,IR,30.3586,50.7981,41.09,87,0,0.0,clear sky
199,Manono,CD,-7.3,27.4167,67.15,94,88,3.04,light rain
200,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,88,61,16.42,broken clouds
201,Tacna,PE,-18.0056,-70.2483,71.8,60,0,10.36,clear sky
202,Peniche,PT,39.3558,-9.3811,47.44,78,0,12.8,clear sky
203,Shenkursk,RU,62.1091,42.896,14.63,89,98,12.03,overcast clouds
204,Wanning,CN,18.8003,110.3967,52.83,68,7,10.07,clear sky
205,Nabire,ID,-3.3667,135.4833,76.84,90,100,2.33,overcast clouds
206,Whitehorse,CA,60.7161,-135.0538,16.11,75,75,10.36,broken clouds
207,Charlestown,AU,-32.95,151.6667,82.85,78,38,1.99,scattered clouds
208,Ahuatempan,MX,18.4167,-98.0167,75.83,24,0,5.06,clear sky
209,Purwodadi,ID,-7.0868,110.9158,74.73,94,100,2.51,overcast clouds
210,Lagos,NG,6.5833,3.75,80.92,86,100,4.45,overcast clouds
211,Kloulklubed,PW,7.0419,134.2556,75.7,81,94,22.01,moderate rain
212,Buraydah,SA,26.326,43.975,55.85,56,2,10.22,clear sky
213,Sfantu Gheorghe,RO,45.8667,25.7833,28.92,95,100,1.45,light snow
214,Minot,US,48.2325,-101.2963,-0.18,65,0,17.27,clear sky
215,Mezen,RU,65.8522,44.24,22.8,91,100,14.0,overcast clouds
