City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
498,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,No hotel found
502,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,No hotel found
504,Pochutla,MX,88.83,clear sky,15.7432,-96.4661,No hotel found
505,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,No hotel found
506,Cancun,MX,78.06,scattered clouds,21.1743,-86.8466,No hotel found
507,Pisco,PE,73.45,light rain,-13.7,-76.2167,No hotel found
510,Koumac,NC,78.44,light rain,-20.5667,164.2833,No hotel found
513,Kuala Terengganu,MY,80.98,light rain,5.3302,103.1408,No hotel found
516,Rawson,AR,81.63,clear sky,-43.3002,-65.1023,No hotel found
517,Floriano,BR,81.14,scattered clouds,-6.7669,-43.0225,No hotel found
518,Marabba,SD,77.67,broken clouds,12.35,32.1833,No hotel found
519,Namatanai,PG,83.86,overcast clouds,-3.6667,152.4333,No hotel found
521,Inongo,CD,74.75,overcast clouds,-1.95,18.2667,No hotel found
522,Te Anau,NZ,72.05,clear sky,-45.4167,167.7167,No hotel found
523,Richards Bay,ZA,74.86,light rain,-28.783,32.0377,No hotel found
524,Acajutla,SV,84.58,broken clouds,13.5928,-89.8275,No hotel found
528,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,No hotel found
529,Batticaloa,LK,71.51,overcast clouds,7.7102,81.6924,No hotel found
530,Whakatane,NZ,73.78,overcast clouds,-37.9585,176.9854,No hotel found
531,Aracati,BR,80.6,few clouds,-4.5617,-37.7697,No hotel found
537,Inhambane,MZ,74.16,clear sky,-23.865,35.3833,No hotel found
538,Puerto Escondido,MX,82.04,clear sky,15.85,-97.0667,No hotel found
540,Mbaiki,CF,73.45,overcast clouds,3.8678,17.9892,No hotel found
542,Coahuayana,MX,84.02,scattered clouds,18.7333,-103.6833,No hotel found
543,Jucurutu,BR,84.65,clear sky,-6.0339,-37.0203,No hotel found
546,Kudahuvadhoo,MV,80.55,broken clouds,2.6708,72.8944,No hotel found
547,Kaeo,NZ,74.32,overcast clouds,-35.1,173.7833,No hotel found
553,Ahuimanu,US,74.61,light rain,21.4447,-157.8378,No hotel found
554,Hualmay,PE,73.6,overcast clouds,-11.0964,-77.6139,No hotel found
555,Humaita,BR,74.01,overcast clouds,-7.5061,-63.0208,No hotel found
556,Yaan,NG,83.21,overcast clouds,7.3833,8.5667,No hotel found
559,Boyolangu,ID,74.08,overcast clouds,-8.1181,111.8935,No hotel found
560,Camopi,GF,71.38,broken clouds,3.1655,-52.3158,No hotel found
561,Canchungo,GW,77.13,scattered clouds,12.0672,-16.0333,No hotel found
562,Saint-Joseph,RE,77.38,overcast clouds,-21.3667,55.6167,No hotel found
563,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,No hotel found
568,Poso,ID,79.34,overcast clouds,-1.3959,120.7524,No hotel found
570,Agua De Dios,CO,82.42,clear sky,4.3765,-74.67,No hotel found
571,Fare,PF,81.28,light rain,-16.7,-151.0167,No hotel found
572,Poum,NC,77.85,moderate rain,-20.2333,164.0167,No hotel found
576,Isangel,VU,86.11,broken clouds,-19.55,169.2667,No hotel found
577,Teahupoo,PF,80.56,clear sky,-17.8333,-149.2667,No hotel found
578,Bonfim,BR,85.77,scattered clouds,3.0833,-59.95,No hotel found
580,Kismayo,SO,76.32,clear sky,-0.3582,42.5454,No hotel found
583,Boende,CD,70.97,light rain,-0.2167,20.8667,No hotel found
584,Ugoofaaru,MV,79.39,clear sky,5.6667,73.0,No hotel found
585,Bontang,ID,75.78,overcast clouds,0.1333,117.5,No hotel found
586,Rio Gallegos,AR,77.05,clear sky,-51.6226,-69.2181,No hotel found
594,Sao Jose Da Coroa Grande,BR,78.89,clear sky,-8.8978,-35.1478,No hotel found
596,Puerto Leguizamo,CO,80.69,clear sky,-0.1934,-74.7819,No hotel found
598,Gewane,ET,72.01,clear sky,10.1664,40.6453,No hotel found
599,Praya,CV,70.34,clear sky,14.9215,-23.5087,No hotel found
601,Puerto Lempira,HN,78.04,broken clouds,15.2667,-83.7667,No hotel found
602,Port Keats,AU,80.92,overcast clouds,-14.25,129.55,No hotel found
603,Dhidhdhoo,MV,80.01,few clouds,6.8833,73.1,No hotel found
605,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,No hotel found
